batch_id,repo_url,commit,entries,primary_language,sloc,source_files,source_bytes
mixed-01,https://github.com/n8n-io/n8n,732f2a3d3ddba59fb6e51bf2534fd33792a2cde3,3,TypeScript,1913675,11431,64129630
mixed-01,https://github.com/n8n-io/n8n,8a5d4d5746f55a2fbb1566508bccfa729a304b60,2,TypeScript,1468506,9368,47108936
mixed-01,https://github.com/n8n-io/n8n,8e81f3e31398b04fd6f8cc27cf844980cd382117,6,TypeScript,1822845,10912,60706031
mixed-01,https://github.com/n8n-io/n8n,e45a4b1073d85d04d6455a4f18482838a7840124,1,TypeScript,1410311,9067,44879992
mixed-05,https://github.com/nltk/nltk,40d0bc1d484a3458d6a63ecb5ba4957ab16ba14e,1,Python,78631,367,5022788
mixed-05,https://github.com/ollama/ollama,7325791599409de52534429897481918717a9e85,2,Go,156163,522,6685400
mixed-05,https://github.com/onnx/onnx,bca0315ff3e56bb5847509ca32fadb8d87f680e1,2,Python,138067,713,6345016
mixed-05,https://github.com/open-webui/open-webui,9942de8011d4b5a141ac507c974c061c0cdad59a,1,Svelte,194210,737,7124857
mixed-05,https://github.com/open-webui/open-webui,e4e69a10ec08a725bf2ab3db499ef664f2bd7570,1,Svelte,236599,861,8778094
openclaw-01,https://github.com/openclaw/openclaw,12dc299cdef3759486b52033e78b550d985c3371,4,TypeScript,1136409,6748,51084041
openclaw-01,https://github.com/openclaw/openclaw,1f14c8d96b8662e155d5c10ea650da868e1a9e63,4,TypeScript,2112892,12317,86034480
openclaw-01,https://github.com/openclaw/openclaw,204d9fb404838221df19cc46b30e4cf53209d038,4,TypeScript,822569,5185,29848757
openclaw-01,https://github.com/openclaw/openclaw,3b56a6252bbc4dcf3d3c68a5e3cbb0e1162e58a9,10,TypeScript,662432,4132,23793163
openclaw-01,https://github.com/openclaw/openclaw,6aa11f30924ee08d0e6f36ede4877e44c553b984,4,TypeScript,754611,4801,27381024
openclaw-01,https://github.com/openclaw/openclaw,d08dafb08fee1e36ef929d6ccfdc322fdf52cee6,6,TypeScript,869608,5392,31520916
mixed-03,https://github.com/paperclipai/paperclip,50cd76d8a3f2fc06d1a5af63840abd3d7a1bcd02,2,TypeScript,236077,1200,9435406
mixed-03,https://github.com/paperclipai/paperclip,a07237779bd5391a4683a754ed95249d57a49b2c,6,TypeScript,191659,1017,7729767
